20:27:47.705 [main] REPORT com.atharva.Atharva - OngoingTrade	Scrip	CurrentPrice	CummulativePriceDiff	ActiveTradePriceDiff	ActiveTradeProfit	TrendReversalTrailer	StopLossTrailer	TradeActive	TotalPriceDiff	TotalProfitorLoss
20:28:10.196 [main] REPORT com.atharva.Atharva - OngoingTrade	Scrip	CurrentPrice	CummulativePriceDiff	ActiveTradePriceDiff	ActiveTradeProfit	TrendReversalTrailer	StopLossTrailer	TradeActive	TotalPriceDiff	TotalProfitorLoss
20:42:15.783 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.45	-0.049999999999954525	0.20000000000004547	20.80000000000473	-0.049999999999954525	-0.049999999999954525	STOPLOSS	-0.3999999999998636	-41.59999999998581
20:42:15.784 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.2	0.25	0.4500000000000455	46.80000000000473	0.0	0.0	STOPLOSS	-0.3999999999998636	-41.59999999998581
20:42:15.784 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.4	-0.20000000000004547	0.25	26.0	-0.20000000000004547	-0.20000000000004547	STOPLOSS	-0.3999999999998636	-41.59999999998581
20:42:15.785 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1043.8	0.6000000000001364	0.8500000000001364	88.40000000001419	0.0	0.0	STOPLOSS	-0.3999999999998636	-41.59999999998581
20:42:15.785 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1043.6	0.20000000000004547	1.050000000000182	109.20000000001892	0.0	0.0	STOPLOSS	-0.3999999999998636	-41.59999999998581
20:42:15.785 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1043.1	0.5	1.550000000000182	161.20000000001892	0.0	0.0	STOPLOSS	-0.3999999999998636	-41.59999999998581
20:42:15.786 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1043.05	0.049999999999954525	1.6000000000001364	166.4000000000142	0.0	0.0	STOPLOSS	-0.3999999999998636	-41.59999999998581
20:42:15.786 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1043.2	-0.15000000000009095	1.4500000000000455	150.80000000000473	-0.15000000000009095	-0.15000000000009095	STOPLOSS	-0.3999999999998636	-41.59999999998581
20:42:15.787 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1042.95	0.25	1.7000000000000455	176.80000000000473	0.0	0.0	STOPLOSS	-0.3999999999998636	-41.59999999998581
20:42:15.787 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1042.3	0.650000000000091	2.3500000000001364	244.4000000000142	0.0	0.0	STOPLOSS	-0.3999999999998636	-41.59999999998581
